wvl	c7101904
1159	0.990458
1160	0.989986
1161	0.988509
1162	0.9869
1163	0.988743
1164	0.991527
1165	0.991262
1166	0.986685
1167	0.986184
1168	0.98917
1169	0.98883
1170	0.989519
1171	0.989224
1172	0.987714
1173	0.987089
1174	0.986728
1175	0.987412
1176	0.989895
1177	0.988797
1178	0.986827
1179	0.988443
1180	0.989111
1181	0.985618
1182	0.986254
1183	0.988745
1184	0.989214
1185	0.98891
1186	0.989342
1187	0.989062
1188	0.989113
1189	0.990489
1190	0.989107
1191	0.986664
1192	0.987595
1193	0.988341
1194	0.988319
1195	0.987923
1196	0.988318
1197	0.989763
1198	0.988977
1199	0.986662
1200	0.986153
1201	0.987259
1202	0.989054
1203	0.988849
1204	0.988452
1205	0.988038
1206	0.988815
1207	0.989087
1208	0.988229
1209	0.987024
1210	0.987429
1211	0.988585
1212	0.988689
1213	0.988774
1214	0.989051
1215	0.990379
1216	0.991213
1217	0.991166
1218	0.988486
1219	0.988489
1220	0.988456
1221	0.987265
1222	0.986744
1223	0.987866
1224	0.988336
1225	0.988483
1226	0.989651
1227	0.990772
1228	0.990497
1229	0.9882
1230	0.987861
1231	0.989438
1232	0.988634
1233	0.987902
1234	0.988495
1235	0.98785
1236	0.987383
1237	0.988469
1238	0.988812
1239	0.989019
1240	0.989882
1241	0.988903
1242	0.987641
1243	0.987658
1244	0.989891
1245	0.989574
1246	0.987784
1247	0.987522
1248	0.988351
1249	0.988996
1250	0.989201
1251	0.988559
1252	0.987443
1253	0.987404
1254	0.987513
1255	0.989385
1256	0.989453
1257	0.987192
1258	0.987757
1259	0.988553
1260	0.987731
1261	0.987639
1262	0.988447
1263	0.989972
1264	0.989151
1265	0.988341
1266	0.989278
1267	0.989304
1268	0.989434
1269	0.987583
1270	0.986701
1271	0.987992
1272	0.987972
1273	0.987764
1274	0.98761
1275	0.988669
1276	0.988733
1277	0.98699
1278	0.987437
1279	0.987339
1280	0.987482
1281	0.987823
1282	0.986684
1283	0.987124
1284	0.987045
1285	0.988116
1286	0.990088
1287	0.990415
1288	0.988346
1289	0.987385
1290	0.987366
1291	0.987425
1292	0.988281
1293	0.987979
1294	0.987551
1295	0.989108
1296	0.989535
1297	0.988341
1298	0.987772
1299	0.987546
1300	0.987813
1301	0.98813
1302	0.990806
1303	0.991731
1304	0.990091
1305	0.988761
1306	0.988911
1307	0.988833
1308	0.988692
1309	0.988395
1310	0.988387
1311	0.989367
1312	0.989827
1313	0.988809
1314	0.987827
1315	0.987619
1316	0.9885
1317	0.988789
1318	0.988406
1319	0.987602
1320	0.988171
1321	0.988659
1322	0.988579
1323	0.989201
1324	0.98673
1325	0.986336
1326	0.987835
1327	0.988357
1328	0.987616
1329	0.987625
1330	0.987657
1331	0.986003
1332	0.987517
1333	0.988533
1334	0.98817
1335	0.988498
1336	0.988593
1337	0.989592
1338	0.988395
1339	0.986522
1340	0.987241
1341	0.988045
1342	0.988109
1343	0.987505
1344	0.988973
1345	0.988063
1346	0.986769
1347	0.986403
1348	0.986804
1349	0.987191
1350	0.987109
1351	0.986684
1352	0.9861
1353	0.984469
1354	0.985291
1355	0.987321
1356	0.987716
1357	0.987509
1358	0.986735
1359	0.984373
1360	0.984091
1361	0.985326
1362	0.986972
1363	0.985987
1364	0.984613
1365	0.985359
1366	0.987867
1367	0.987595
1368	0.987408
1369	0.98854
1370	0.987898
1371	0.986361
1372	0.986238
1373	0.985875
1374	0.985299
1375	0.983856
1376	0.984827
1377	0.98454
1378	0.984233
1379	0.98411
1380	0.983052
1381	0.983742
1382	0.983894
1383	0.984542
1384	0.984869
1385	0.984036
1386	0.985012
1387	0.986471
1388	0.985909
1389	0.984701
1390	0.984587
1391	0.984864
1392	0.98358
1393	0.981921
1394	0.982546
1395	0.982581
1396	0.983979
